"[indicatorID];[NombreIndicador];[Frecuencia];[Unidad];[NombreUnidad];[MultiplicadorName];[Fecha];[Fecha_Estructurada];[ARGENTINA];[BOLIVIA];[BRASIL];[CHILE];[COLOMBIA];[COSTA RICA];[REPUBLICA DOMINICANA];[ECUADOR];[GUATEMALA];[HONDURAS];[JAMAICA];[MEXICO];[NICARAGUA];[PANAMA];[PERU];[PARAGUAY];[EL SALVADOR];[URUGUAY];[VENEZUELA]"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-01;1990-01-15;499.80100;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-02;1990-02-15;594.49000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-03;1990-03-15;930.12600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-04;1990-04-15;1229.19800;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-05;1990-05-15;1409.98200;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-06;1990-06-15;1820.86700;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-07;1990-07-15;1966.00400;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-08;1990-08-15;1976.47400;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-09;1990-09-15;2298.60700;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"FASMB_XDC;base monetaria, moneda nacional;Mensual;ARS;Argentine peso;Millones;1990-10;1990-10-15;2526.09600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
