"[indicatorID];[NombreIndicador];[Frecuencia];[Unidad];[NombreUnidad];[MultiplicadorName];[Fecha];[Fecha_Estructurada];[ARGENTINA];[BOLIVIA];[BRASIL];[CHILE];[COLOMBIA];[COSTA RICA];[REPUBLICA DOMINICANA];[ECUADOR];[GUATEMALA];[HONDURAS];[JAMAICA];[MEXICO];[NICARAGUA];[PANAMA];[PERU];[PARAGUAY];[EL SALVADOR];[URUGUAY];[VENEZUELA]"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2007;2007-12-31;NULL;NULL;NULL;NULL;NULL;NULL;100.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2008;2008-12-31;NULL;NULL;NULL;NULL;NULL;NULL;103.20950;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2009;2009-12-31;NULL;NULL;NULL;NULL;NULL;NULL;104.18603;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2010;2010-12-31;NULL;NULL;NULL;NULL;NULL;NULL;112.87478;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2011;2011-12-31;NULL;NULL;NULL;NULL;NULL;NULL;116.41162;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2012;2012-12-31;NULL;NULL;NULL;NULL;NULL;NULL;119.57495;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2013;2013-12-31;NULL;NULL;NULL;NULL;NULL;NULL;125.40448;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2014;2014-12-31;NULL;NULL;NULL;NULL;NULL;NULL;134.24608;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2015;2015-12-31;NULL;NULL;NULL;NULL;NULL;NULL;143.54533;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2016;2016-12-31;NULL;NULL;NULL;NULL;NULL;NULL;153.10430;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2017;2017-12-31;NULL;NULL;NULL;NULL;NULL;NULL;160.24922;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2018;2018-12-31;NULL;NULL;NULL;NULL;NULL;NULL;171.43867;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2019;2019-12-31;NULL;NULL;NULL;NULL;NULL;NULL;180.10004;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;IX;Index;Unidades;2020;2020-12-31;NULL;NULL;NULL;NULL;NULL;NULL;167.99688;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2007;2007-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;885632.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2008;2008-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;878443.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2009;2009-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;840272.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2010;2010-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;828028.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2011;2011-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;842356.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2012;2012-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;837187.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2013;2013-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;841521.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2014;2014-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;847326.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2015;2015-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;855134.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2016;2016-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;866894.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2017;2017-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;875538.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2018;2018-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;892085.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Anual;JMD;Jamaican dollar;Millones;2019;2019-12-31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;900045.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Trimestral;ARS;Argentine peso;Millones;2004-Q1;2004-03-31;115092.25000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Trimestral;ARS;Argentine peso;Millones;2004-Q2;2004-06-30;128599.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Trimestral;ARS;Argentine peso;Millones;2004-Q3;2004-09-30;120288.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"NGDP_PA_R_XDC;pib real, moneda nacional;Trimestral;ARS;Argentine peso;Millones;2004-Q4;2004-12-31;121136.00000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
