"[indicatorID];[NombreIndicador];[Frecuencia];[Unidad];[NombreUnidad];[MultiplicadorName];[Fecha];[Fecha_Estructurada];[ARGENTINA];[BOLIVIA];[BRASIL];[CHILE];[COLOMBIA];[COSTA RICA];[REPUBLICA DOMINICANA];[ECUADOR];[GUATEMALA];[HONDURAS];[JAMAICA];[MEXICO];[NICARAGUA];[PANAMA];[PERU];[PARAGUAY];[EL SALVADOR];[URUGUAY];[VENEZUELA]"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-03;2002-03-15;2.39890;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-04;2002-04-15;2.85510;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-05;2002-05-15;3.32870;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-06;2002-06-15;3.62130;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-07;2002-07-15;3.60710;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-08;2002-08-15;3.62070;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-09;2002-09-15;3.64310;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-10;2002-10-15;3.65190;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-11;2002-11-15;3.52560;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
"ENDA_XDC_USD_RATE;tasa de cambio $ por usd (promedio), tasa;Mensual;ARS;Argentine peso;Unidades;2002-12;2002-12-15;3.49020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL"
